Standard Title,Standard Type,Standard Info Latest,Value,Edition Date,Standard Infotyp
Standard for Power Supplies for Use with Burglar-Alarm Systems,(Ed. 5),UL,603,"February 18, 2008",Type: ulstd
STANDARD FOR STEEL UNDERGROUND TANKS FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES RÉSERVOIRS SOUTERRAINS EN ACIER POUR LES LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 4),ULC,603,"October 01, 2014",Type: canulc
External Corrosion Protection Systems for Steel Underground Tanks for Flammable and Combustible Liquids,(Ed. 4),ULC,603.1,"August 01, 2011",Type: canulc
STANDARD FOR EXTERNAL CORROSION PROTECTION SYSTEMS FOR STEEL UNDERGROUND TANKS FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES SYSTÈMES DE PROTECTION CONTRE LA CORROSION EXTÉRIEURE DES RÉSERVOIRS ENTERRÉS EN ACIER POUR LES LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 5),ULC,603.1,"February 01, 2017",Type: ulc
STANDARD FOR FACTORY-BUILT TYPE A CHIMNEYS / NORME SUR LES CHEMINÉES PRÉFABRIQUÉES DE TYPE A,(Ed. 5),ULC,604,"April 07, 2022",Type: ulc
Subject for Portable Extinguishers,(Ed. 1),UL,605,"April 15, 2004",N/A
STANDARD FOR GAS VENTS / NORME SUR LES CONDUITS D'ÉVACUATION À GAZ,(Ed. 5),ULC,605,"April 07, 2022",Type: ulc
Standard for Linings and Screens for Use with Burglar-Alarm Systems,(Ed. 4),UL,606,"November 19, 1999",Type: ulstd
Standard for Burglary Resistant Vault Doors and Modular Panels,(Ed. 7),UL,608,"November 30, 2004",Type: ulstd
Standard for Local Burglar Alarm Units and Systems,(Ed. 12),UL,609,"March 09, 2018",Type: ulstd
STANDARD FOR LOW TEMPERATURE VENTS TYPE L AND PL / NORME SUR LES CONDUITS D'ÉVACUATION À BASSE TEMPÉRATURE DE TYPES L ET PL,(Ed. 3),ULC,609,"April 07, 2022",Type: ulc
STANDARD FOR FACTORY-BUILT FIREPLACE SYSTEMS / NORME SUR LES SYSTÈMES FOYERS À FEU OUVERT PRÉFABRIQUÉ,(Ed. 2),ULC,610,"July 01, 2018",Type: canulc
STANDARD FOR HOSE AND HOSE ASSEMBLIES FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES TUYAUX FLEXIBLES ET TUYAUX FLEXIBLES À RACCORDS POUR LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 5),ULC,612,"April 01, 2016",Type: canulc
STANDARD FOR FIBRE REINFORCED PLASTIC UNDERGROUND TANKS FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES RÉSERVOIRS EN PLASTIQUE RENFORCÉ SOUTERRAINS POUR LES LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 3),ULC,615,"October 01, 2014",N/A
Standard for Concrete Masonry Units,(Ed. 9),UL,618,"February 27, 1995",Type: ulstd
STANDARD FOR HOSE NOZZLE VALVES FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES PISTOLETS POUR  LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 4),ULC,620,"January 01, 2016",Type: canulc
Standard for Ice Cream Makers,(Ed. 7),UL,621,"May 07, 2010",Type: ulstd
Water Fire Extinguishers,(Ed. 8),UL,626,"February 28, 2005",Type: ululc
Standard for Space Heaters for Use with Solid Fuels,(Ed. 3),ULC,627,"June 01, 2000",N/A
STANDARD FOR SPACE HEATERS FOR USE WITH SOLID FUELS / NORME POUR LES POÊLES À UTILISER AVEC DES COMBUSTIBLES SOLIDES,(Ed. 4),ULC,627,"May 13, 2021",Type: ulc
STANDARD FOR FIREPLACE INSERTS AND HEARTH-MOUNTED STOVES / NORME SUR LES FOYERS ENCASTRABLES ET LES POÊLES SUR SOCLE,(Ed. 4),ULC,628,"April 07, 2022",Type: ulc
STANDARD FOR  650 °C FACTORY- BUILT CHIMNEYS / NORME SUR LES CHEMINÉES PREFABRIQUÉES POUR DES TEMPÉRATURES N’EXCÉDENT PAS 650 °C,(Ed. 3),ULC,629,"December 01, 2016",Type: canulc
STANDARD FOR 650 °C FACTORY-BUILT CHIMNEYS / NORME SUR LES CHEMINÉES PREFABRIQUÉES POUR DES TEMPÉRATURES N'EXCÉDENT PAS 650 °C,(Ed. 4),ULC,629,"April 07, 2022",Type: ulc
Standard for Heat Shields,(Ed. 1),ULC,632,"February 22, 2016",N/A
STANDARD FOR HEAT SHIELDS / NORME SUR LES ÉCRANS THERMIQUES,(Ed. 3),ULC,632,"March 29, 2019",Type: canulc
Flexible Underground Hose Connectors for Flammable and Combustible Liquids / Norme Sur les Raccords a Tuyaux Flexible Souterrain pour Liquids Inflammables et Combustibles,(Ed. 1),ULC,633,"September 01, 2004",N/A
STANDARD FOR FLEXIBLE CONNECTOR PIPING FOR FUELS / NORME POUR LES TUYAUX DE RACCORDEMENT FLEXIBLES POUR CARBURANTS,(Ed. 4),ULC,633,"June 01, 2017",Type: canulc
Standard for Connectors and Switches for Use with Burglar-Alarm Systems,(Ed. 9),UL,634,"October 12, 2007",Type: ulstd
CONNECTORS AND SWITCHES FOR USE WITH BURGLAR ALARM SYSTEMS,(Ed. 2),ULC,634,"October 01, 2016",Type: ord
Standard for Insulating Bushings,(Ed. 3),UL,635,"March 08, 2012",Type: ulstd
STANDARD FOR LINING SYSTEMS FOR EXISTING MASONRY OR FACTORY-BUILT CHIMNEYS AND VENTS / NORME SUR LES SYSTÈMES DE CHEMISAGE POUR LES OUVRAGES DE MAÇONNERIE EXISTANTS OU LES CHEMINÉES ET LES CONDUITS D'ÉVACUATION PRÉFABRIQUÉS,(Ed. 3),ULC,635,"August 01, 2016",Type: canulc
Standard for Holdup Alarm Units and Systems,(Ed. 11),UL,636,"January 30, 2018",Type: ulstd
Standard for Type BH Gas Venting Systems,(Ed. 3),ULC,636,"July 01, 2008",N/A
Standard for Intrusion-Detection Units,(Ed. 8),UL,639,"August 31, 2007",Type: ulstd
Standard for Steel Liner Assemblies for Solid-Fuel Burning Masonry Fireplaces,(Ed. 1),ULC,639,"April 01, 1987",N/A
STANDARD FOR STEEL LINER ASSEMBLIES FOR SOLID-FUEL BURNING MASONRY FIREPLACES / NORME SUR LES CHEMISAGES EN ACIER POUR FOYERS A FEU OUVERT EN MAÇONNERIE A COMBUSTIBLES SOLIDES,(Ed. 2),ULC,639,"April 01, 2018",N/A
STANDARD FOR LINING SYSTEMS FOR NEW MASONRY CHIMNEYS / NORME SUR LES SYSTÈMES DE CHEMISAGE POUR LES NOUVELLES CHEMINÉES DE MAÇONNERIE,(Ed. 2),ULC,640,"August 01, 2016",Type: canulc
Standard for Type L Low-Temperature Venting Systems,(Ed. 8),UL,641,"September 21, 2010",Type: ulstd
STANDARD FOR FACTORY-BUILT CHIMNEY CONNECTORS AND WALL PASS-THROUGH ASSEMBLIES / NORME SUR LES RACCORDS DE CHEMINÉE PRÉFABRIQUÉE ET LES TRAVERSÉES MURALES,(Ed. 4),ULC,641,"April 07, 2022",Type: ulc
STANDARD FOR COMPOUNDS AND TAPES FOR THREADED PIPE JOINTS / NORME SUR LES COMPOSÉS ET RUBANS POUR JOINTS DE TUYAU FILETÉS,(Ed. 4),ULC,642,"June 30, 2021",Type: canulc
Standard for Container Assemblies for LP-Gas,(Ed. 9),UL,644,"June 06, 2014",Type: ulstd
STANDARD FOR EMERGENCY BREAKAWAY FITTINGS FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES RACCORDS FRANGIBLES D’URGENCE POUR LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 3),ULC,644,"August 01, 2016",Type: canulc
Standard For Power Roof Ventilators for Commercial and Institutional Kitchen Exhaust Systems,(Ed. 1),ULC,645,"January 01, 1993",Type: ulc
STANDARD FOR EXHAUST HOODS AND RELATED CONTROLS FOR COMMERCIAL AND INSTITUTIONAL COOKING EQUIPMENT / NORME RELATIVE AUX HOTTES D'ASPIRATION ET AUX CONTRÔLES CONNEXES POUR LE MATÉRIEL DE CUISSON DES CUISINES PROFESSIONNELLES ET COLLECTIVES,(Ed. 3),ULC,646,"July 01, 2010",Type: canulc
Standard for Unvented Kerosene-Fired Room Heaters and Portable Heaters,(Ed. 2),UL,647,"May 03, 1993",Type: ulstd
Standard for Exhaust Cleaning and Recirculation Assemblies for Commercial and Institutional Kitchen Exhaust Systems,(Ed. 1),ULC,647,"July 01, 2006",N/A
STANDARD FOR EXHAUST CLEANING AND RECIRCULATION ASSEMBLIES FOR COMMERCIAL AND INSTITUTIONAL KITCHEN EXHAUST SYSTEMS,(Ed. 2),ULC,647,"January 01, 2005",Type: canulc
Standard for Grease Filters for Commercial and Insitutional Kitchen Exhaust Systems,(Ed. 1),ULC,649,"July 01, 2006",N/A
STANDARD FOR GREASE FILTERS FOR COMMERCIAL AND INSTITUTIONAL KITCHEN EXHAUST SYSTEMS,(Ed. 2),ULC,649,"July 01, 2006",Type: ulc
Standard for Schedule 40 and 80 Rigid PVC Conduit and Fittings,(Ed. 8),UL,651,"October 25, 2011",Type: ulstd
STANDARD FOR EMERGENCY VALVES  FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES ROBINETS D'URGENCE POUR LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 4),ULC,651,"January 01, 2016",Type: canulc
High Density Polyethylene (HDPE) Conduit,(Ed. 6),UL,651A,"May 10, 2023",Type: ulstd
"Standard For Tank Assemblies For Collection, Storage and Removal Of Used Oil
Norme sur les ensembles réservoirs destinés à la collecte, au stockage et à l'enlèvement de l'huile usagée",(Ed. 2),ULC,652,"May 01, 2008",N/A
"STANDARD FOR TANK ASSEMBLIES FOR THE COLLECTION, STORAGE AND REMOVAL OF USED OIL / NORME SUR LES ENSEMBLES RÉSERVOIRS DESTINÉS À LA COLLECTE, AU STOCKAGE ET À L'ENLÈVEMENT DE L'HUILE USAGÉE",(Ed. 3),ULC,652,"February 01, 2016",Type: canulc
Standard for Aboveground Steel Contained Tank Assemblies for Flammable and Combustible Liquids / Norme sur les ensembles réservoirs de confinement en acier hors sol pour les liquides inflammables et combustibles ,(Ed. 1),ULC,653,"July 01, 2006",N/A
STANDARD FOR ABOVEGROUND HORIZONTAL STEEL CONTAINED TANK ASSEMBLIES FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES ENSEMBLES RÉSERVOIRS DE CONFINEMENT EN ACIER HORIZONTAUX HORS SOL POUR LES LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 3),ULC,653,"January 01, 2016",Type: canulc
Standard for Aboveground Protected Tank Assemblies for Flammable and Combustable Liquids,(Ed. 1),ULC,655,"February 01, 1998",N/A
STANDARD FOR ABOVEGROUND PROTECTED TANK ASSEMBLIES FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES ENSEMBLES RÉSERVOIRS PROTÉGÉS HORS SOL POUR LES LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 2),ULC,655,"September 01, 2015",Type: canulc
STANDARD FOR OIL-WATER SEPARATORS / NORME SUR LES SÉPARATEURS HUILE-EAU,(Ed. 2),ULC,656,"July 01, 2014",Type: canulc
STANDARD FOR OIL-WATER SEPARATORS / NORME SUR LES SÉPARATEURS HUILE-EAU,(Ed. 2),ULC,656,"July 01, 2014",Type: canulc
Standard for Nonmetallic Underground Piping for Flammable and Combustible Liquids,(Ed. 1),ULC,660,"May 01, 2008",N/A
STANDARD FOR OVERFILL PROTECTION DEVICES FOR FLAMMABLE AND COMBUSTIBLE LIQUID STORAGE TANKS / NORME SUR LES DISPOSITIFS DE PROTECTION CONTRE LES DÉBORDEMENTS POUR LES RÉSERVOIRS DE STOCKAGE DE LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 1),ULC,661,"December 01, 2010",N/A
STANDARD FOR FACTORY-BUILT GREASE DUCTS / NORME SUR LES CONDUITS DE GRAISSE PRÉFABRIQUÉS,(Ed. 1),ULC,662,"August 01, 2009",Type: canulc
STANDARD FOR SPILL CONTAINMENT DEVICES FOR FLAMMABLE AND COMBUSTIBLE LIQUID ABOVEGROUND STORAGE TANKS / NORME SUR LES DISPOSITIFS DE CONFINEMENT DES DÉVERSEMENTS POUR LES RÉSERVOIRS DE STOCKAGE DE LIQUIDES INFLAMMABLES ET DE LIQUIDES COMBUSTIBLES HORS SOL,(Ed. 1),ULC,663,"April 01, 2011",N/A
"STANDARD FOR CONTAINMENT SUMPS, SUMP FITTINGS, AND ACCESSORIES FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORMES SUR LES PUISARDS DE CONFINEMENT, RACCORDS DE PUISARD ET ACCESSOIRES POUR LIQUIDES INFLAMMABLES ET COMBUSTIBLES",(Ed. 1),ULC,664,"July 01, 2017",Type: canulc
METALLIC UNDERGROUND PIPING FOR  FLAMMABLE AND COMBUSTIBLE LIQUIDS / CANALISATIONS SOUTERRAINES MÉTALLIQUES POUR LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 1),ULC,667,"August 01, 2011",Type: canulc
Standard for Hose Valves for Fire-Protection Service,(Ed. 10),UL,668,"April 28, 2004",Type: ulstd
STANDARD FOR LINERS USED FOR SECONDARY CONTAINMENT OF ABOVEGROUND FLAMMABLE AND COMBUSTIBLE LIQUID TANKS / NORME SUR LES MEMBRANES DE CONFINEMENT SECONDAIRE POUR LES RÉSERVOIRS DE STOCKAGE DE LIQUIDES INFLAMMABLES ET DE LIQUIDES COMBUSTIBLES HORS SOL,(Ed. 1),ULC,668,"April 01, 2012",Type: canulc
STANDARD FOR LINERS USED FOR SECONDARY CONTAINMENT OF ABOVEGROUND FLAMMABLE AND COMBUSTIBLE LIQUID TANKS / NORME SUR LES MEMBRANES DE CONFINEMENT SECONDAIRE POUR LES RÉSERVOIRS DE STOCKAGE DE LIQUIDES INFLAMMABLES ET DE LIQUIDES COMBUSTIBLES HORS SOL,(Ed. 1),ULC,668,"April 01, 2012",Type: canulc
STANDARD FOR INTERNAL RETROFIT SYSTEMS FOR UNDERGROUND TANKS FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES SYSTÈMES DE RÉNOVATION INTERNES DES RÉSERVOIRS SOUTERRAINS POUR LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 1),ULC,669,"October 01, 2014",Type: canulc
STANDARD FOR ABOVEGROUND NONMETALLIC TANKS FOR FUEL OIL AND OTHER COMBUSTIBLE LIQUIDS / NORME SUR LES RÉSERVOIRS NON MÉTALLIQUES HORS SOL POUR LE MAZOUT ET AUTRES LIQUIDES COMBUSTIBLES,(Ed. 1),ULC,670,"September 01, 2014",Type: canulc
Electric Motors and Generators for Use in Hazardous (Classified) Locations,(Ed. 6),UL,674,"July 29, 2022",Type: ulcsance
STANDARD FOR UNVENTED ALCOHOL FUEL BURNING DECORATIVE APPLIANCES / NORME SUR LES APPAREILS DÉCORATIFS NON RACCORDÉS FONCTIONNANT À L,(Ed. 1),ULC,674,"November 01, 2015",Type: canulc
STANDARD FOR VOLUMETRIC LEAK DETECTION DEVICES FOR UNDERGROUND AND ABOVEGROUND STORAGE TANKS FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES DISPOSITIFS DE DÉTECTION DES FUITES VOLUMÉTRIQUES POUR LES RÉSERVOIRS DE STOCKAGE SOUTERRAINS ET HORS SOL DE LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 1),ULC,675.1,"October 01, 2014",Type: canulc
"STANDARD FOR NONVOLUMETRIC PRECISION LEAK DETECTION DEVICES FOR UNDERGROUND AND ABOVEGROUND STORAGE TANKS AND PIPING FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES DISPOSITIFS DE DÉTECTION DES FUITES DE PRÉCISION NON VOLUMÉTRIQUES POUR LES RÉSERVOIRS DE STOCKAGE ET LES TUYAUTERIES, SOUTERRAINS ET HORS SOL, DE LIQUIDES INFLAMMABLES ET COMBUSTIBLES",(Ed. 1),ULC,675.2,"October 01, 2014",Type: canulc
Standard for Underwater Luminaires and Submersible Junction Boxes,(Ed. 9),UL,676,"August 10, 2015",Type: ulstd
STANDARD FOR REFURBISHING OF STORAGE TANKS FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LA REMISE À NEUF DES RÉSERVOIRS DE STOCKAGE POUR LES LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 1),ULC,676,"June 01, 2015",Type: canulc
STANDARD FOR REFURBISHING OF STORAGE TANKS FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LA REMISE À NEUF DES RÉSERVOIRS POUR LES LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 2),ULC,676,"September 14, 2020",Type: canulc
"Potting Compounds for Swimming Pool, Fountain, and Spa Equipment",(Ed. 3),UL,676A,"August 06, 2003",Type: outline
STANDARD FOR FIRE TESTED ABOVEGROUND TANK ASSEMBLIES FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES ENSEMBLES RÉSERVOIRS HORS SOL RÉSISTANT AU FEU POUR LES LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 1),ULC,677,"October 01, 2014",Type: canulc
STANDARD FOR METALLIC AND NONMETALLIC UNDERGROUND PIPING FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES CANALISATIONS SOUTERRAINES MÉTALLIQUES ET NON MÉTALLIQUES POUR LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 1),ULC,679,"October 01, 2017",Type: canulc
Standard for Emergency Vault Ventilators and Vault-Ventilating Ports,(Ed. 8),UL,680,"November 26, 2002",Type: ulstd
Standard for Installation and Classification of Burglar and Holdup Alarm Systems,(Ed. 15),UL,681,"January 16, 2014",Type: ulstd
Standard for Burglary-Resistant Safes,(Ed. 14),UL,687,"October 07, 2005",Type: ulstd
Standard for Burglary-Resistant Safes,(Ed. 15),UL,687,"July 19, 2011",Type: ulstd
Standard for Electric Toys,(Ed. 10),UL,696,"February 17, 2010",Type: ulstd
Standard for Toy Transformers,(Ed. 7),UL,697,"March 03, 2011",Type: ulstd
Standard for Industrial Control Panels Relating to Hazardous (Classified) Locations,(Ed. 4),UL,698A,"August 21, 2018",Type: ulstd
"STANDARD FOR THERMAL INSULATION, POLYSTYRENE BOARDS / NORME SUR L'ISOLANT THERMIQUE EN POLYSTYRÈNE",(Ed. 5),ULC,701.1,"March 01, 2017",Type: canulc
"STANDARD FOR THERMAL INSULATION, POLYSTYRENE BOARDS / NORME SUR L'ISOLANT THERMIQUE EN POLYSTYRÈNE, PANNEAUX",(Ed. 6),ULC,701.1,"February 25, 2022",Type: canulc
"STANDARD FOR MINERAL FIBRE THERMAL INSULATION FOR BUILDINGS, PART 1: MATERIAL SPECIFICATION / NORME SUR L'ISOLANT THERMIQUE DE FIBRES MINÉRALES POUR BÂTIMENTS, PARTIE 1 : SPÉCIFICATIONS RELATIVES AU MATÉRIAU",(Ed. 3),ULC,702.1,"November 01, 2014",Type: canulc
"STANDARD FOR MINERAL FIBRE THERMAL INSULATION FOR BUILDINGS, PART 1: MATERIAL SPECIFICATION / NORME SUR L'ISOLANT THERMIQUE DE FIBRES MINÉRALES POUR BÂTIMENTS, PARTIE 1 : SPÉCIFICATIONS RELATIVES AU MATÉRIAU",(Ed. 4),ULC,702.1,"November 30, 2021",Type: ulc
"MINERAL FIBRE THERMAL INSULATION
FOR BUILDINGS, PART 2: INSTALLATION",(Ed. 2),ULC,702.2,"May 01, 2010",N/A
"STANDARD FOR MINERAL FIBRE  THERMAL INSULATION FOR BUILDINGS,  PART 2: INSTALLATION",(Ed. 3),ULC,702.2,"June 01, 2015",Type: ulc
STANDARD FOR CELLULOSE FIBRE INSULATION FOR BUILDINGS / NORME SUR L'ISOLANT EN FIBRE CELLULOSIQUE POUR LES BÂTIMENTS,(Ed. 2),ULC,703,"November 01, 2009",Type: canulc
"STANDARD FOR THERMAL INSULATION, POLYURETHANE AND POLYISOCYANURATE, BOARDS, FACED / NORME SUR L'ISOLANT THERMIQUE EN POLYURÉTHANE ET EN POLYISOCYANURATE : PANNEAUX REVÊTUS",(Ed. 4),ULC,704.1,"November 01, 2017",Type: canulc
"STANDARD FOR THERMAL INSULATION, POLYURETHANE AND POLYISOCYANURATE, BOARDS, FACED / NORME SUR L'ISOLANT THERMIQUE EN POLYURÉTHANE ET EN POLYISOCYANURATE : PANNEAUX REVÊTUS",(Ed. 5),ULC,704.1,"July 20, 2022",Type: ulc
Standard for Power Ventilators,(Ed. 7),UL,705,"July 19, 2017",Type: ulstd
"STANDARD FOR THERMAL INSULATION - SPRAY APPLIED RIGID POLYURETHANE FOAM, MEDIUM DENSITY - MATERIAL SPECIFICATION / NORME SUR L'ISOLANT THERMIQUE EN MOUSSE DE POLYURÉTHANE RIGIDE PULVÉRISÉE DE DENSITÉ MOYENNE - SPÉCIFICATIONS RELATIVES AUX MATÉRIAUX",(Ed. 3),ULC,705.1,"January 01, 2015",N/A
"STANDARD FOR THERMAL INSULATION - SPRAY APPLIED RIGID POLYURETHANE FOAM, MEDIUM DENSITY - MATERIAL SPECIFICATION / NORME SUR L'ISOLANT THERMIQUE EN MOUSSE DE POLYURÉTHANE RIGIDE PULVÉRISÉE DE DENSITÉ MOYENNE - SPÉCIFICATIONS RELATIVES AUX MATÉRIAUX",(Ed. 4),ULC,705.1,"December 18, 2018",Type: canulc
"STANDARD FOR THERMAL INSULATION - SPRAY APPLIED RIGID POLYURETHANE FOAM, MEDIUM DENSITY - APPLICATION / NORME SUR L'ISOLANT THERMIQUE EN MOUSSE DE POLYURÉTHANE RIGIDE PULVÉRISÉE, DE DENSITÉ MOYENNE - APPLICATION",(Ed. 4),ULC,705.2,"September 13, 2022",Type: canulc
Standard for Wood Fibre Thermal Insulation for Buildings / Norme sur l’isolant thermique en fibre de bois pour bâtiments,(Ed. 1),ULC,706,"January 01, 1900",N/A
Standard for Wood Fibre Thermal Insulation for Buildings,(Ed. 2),ULC,706,"October 01, 2009",N/A
STANDARD FOR WOOD FIBRE INSULATING BOARDS FOR BUILDINGS / NORME SUR LES PANNEAUX ISOLANTS EN FIBRE DE BOIS POUR BÂTIMENTS,(Ed. 3),ULC,706.1,"September 01, 2016",Type: canulc
STANDARD FOR INSULATING WOOD FIBRE BOARDS FOR BUILDINGS / NORME SUR LES PANNEAUX ISOLANTS EN FIBRE DE BOIS POUR BÂTIMENTS ,(Ed. 4),ULC,706.1,"March 19, 2020",Type: canulc
Standard for Exhaust Hoods for Commercial Cooking Equipment,(Ed. 6),UL,710,"September 13, 2012",Type: ulstd
"Standard for Thermal Insulation - Bead - Applied One Component Polyurethane Air Sealant Foam, Part 1: Material Specification / Norme sur l’isolant thermique - mousse d’étanchéité à l’air de polyuréthane monocomposant appliquée en cordon, partie 1 : spécifications relatives au matériau",(Ed. 1),ULC,710.1,"February 01, 2005",N/A
"STANDARD FOR THERMAL INSULATION - BEAD-APPLIED ONE COMPONENT POLYURETHANE AIR SEALANT FOAM, PART 1: MATERIAL SPECIFICATION / NORME SUR L'ISOLANT THERMIQUE - MOUSSE D’ÉTANCHÉITÉ À L’AIR DE POLYURÉTHANE MONOCOMPOSANT APPLIQUÉE EN CORDON, PARTIE 1 : SPÉCIFICATIONS RELATIVES AU MATÉRIAU",(Ed. 2),ULC,710.1,"December 01, 2011",Type: canulc
"STANDARD FOR BEAD-APPLIED ONE COMPONENT POLYURETHANE AIR SEALANT FOAM, PART 1: MATERIAL SPECIFICATION / NORME SUR LA MOUSSE D'ÉTANCHÉITÉ À L'AIR DE POLYURÉTHANE MONOCOMPOSANT APPLIQUÉE EN CORDON, PARTIE 1 : SPÉCIFICATIONS RELATIVES AU MATÉRIAU",(Ed. 3),ULC,710.1,"June 26, 2019",Type: ulc
Rooftop Grease and Oil Collection and Containment Systems	,(Ed. 1),UL,710A,"July 10, 2015",Type: ulstd
Standard for Recirculating Systems,(Ed. 2),UL,710B,"September 02, 2011",Type: ulstd
Ultraviolet Radiation Systems for Use in the Ventilation Control of Commercial Cooking Operations,(Ed. 1),UL,710C,"February 15, 2006",N/A
Ultraviolet Radiation Systems for Use in the Ventilation Control of Commercial Cooking Operations,(Ed. 3),UL,710C,"September 22, 2006",Type: outline
Rating and Fire Testing of Fire Extinguishers,(Ed. 8),UL,711,"August 06, 2018",Type: ululc
"STANDARD FOR THERMAL INSULATION - BEAD-APPLIED TWO COMPONENT POLYURETHANE AIR SEALANT FOAM, PART 1: MATERIAL SPECIFICATION / NORME SUR L'ISOLANT THERMIQUE - MOUSSE D’ÉTANCHÉITÉ À L’AIR DE POLYURÉTHANE BICOMPOSANT APPLIQUÉE EN CORDON, PARTIE 1 : SPÉCIFICATIONS RELATIVES AU MATÉRIAU",(Ed. 2),ULC,711.1,"December 01, 2011",Type: canulc
"BEAD-APPLIED TWO COMPONENT POLYURETHANE AIR SEALANT FOAM, PART 1: MATERIAL SPECIFICATION / MOUSSE D'ÉTANCHÉITÉ À L'AIR DE POLYURÉTHANE BICOMPOSANT APPLIQUÉE EN CORDON, PARTIE 1 : SPÉCIFICATIONS RELATIVES AU MATÉRIAU",(Ed. 3),ULC,711.1,"June 26, 2019",Type: canulc
Outline of Investigation for the Fire Test Method for Portable Hand-Held Extinguishers Intended for Use On Residential Cooking Equipment,(Ed. 3),UL,711A,"November 28, 2018",Type: outline
"STANDARD FOR THERMAL INSULATION - LIGHT DENSITY, OPEN CELL SPRAY APPLIED SEMI-RIGID POLYURETHANE FOAM - INSTALLATION / NORME SUR L’ISOLANT THERMIQUE EN MOUSSE DE POLYURÉTHANE SEMI-RIGIDE PULVÉRISÉE, DE FAIBLE DENSITÉ ET À ALVÉOLES OUVERTS - INSTALLATION",(Ed. 1),ULC,712.2,"January 01, 2017",Type: canulc
"STANDARD FOR THERMAL INSULATION - LIGHT DENSITY, OPEN CELL SPRAY APPLIED SEMI-RIGID POLYURETHANE FOAM - INSTALLATION / NORME SUR L'ISOLANT THERMIQUE EN MOUSSE DE POLYURÉTHANE SEMI-RIGIDE PULVÉRISÉE, DE FAIBLE DENSITÉ ET À ALVÉOLES OUVERTS - INSTALLATION",(Ed. 2),ULC,712.2,"March 17, 2020",Type: canulc
STANDARD METHOD OF SYSTEM TESTING -ML / MÉTHODE D'ESSAI NORMALISÉE  CARACTÉSYSTEM TEST-ML MATÉRIAUX,(Ed. 1),ULC,713,"July 01, 2012",N/A
"STANDARD FOR THERMAL INSULATION - CLOSED CELL SPRAY APPLIED RIGID POLYURETHANE FOAM, HIGH DENSITY - MATERIAL SPECIFICATION / NORME SUR L'ISOLANT THERMIQUE - MOUSSE DE POLYURÉTHANE RIGIDE PULVÉRISÉE À CELLULES FERMÉES, DE DENSITÉ ÉLEVÉE - SPÉCIFICATIONS RELATIVES AUX MATÉRIAUX",(Ed. 1),ULC,715.1,"March 13, 2023",Type: canulc
"STANDARD FOR THERMAL INSULATION - CLOSED CELL SPRAY APPLIED RIGID POLYURETHANE FOAM, HIGH DENSITY - INSTALLATION / NORME SUR L",(Ed. 1),ULC,715.2,"March 13, 2023",Type: ulc
STANDARD FOR EXTERIOR INSULATION AND FINISH SYSTEMS (EIFS) - MATERIALS AND SYSTEMS / NORME POUR LES SYSTÈMES D’ISOLATION ET DE FINITION EXTÉRIEURS (SYSTÈMES SIFE) - MATÉRIAUX ET SYSTÈMES,(Ed. 3),ULC,716.1,"December 01, 2012",N/A
