Standard Title,Standard Type,Standard Info Latest,Edition Date,Standard Infotyp
Standard for Transformer-Type Arc-Welding Machines,(Ed. 8),UL,"April 24, 2009",Type: ulstd
Standard For Forged External-Lug Quick-Connect Couplings And Adapters For Forestry Fire Hose,(Ed. 1),ULC,"November 01, 1995",N/A
STANDARD FOR FORGED EXTERNAL-LUG QUICK CONNECT COUPLINGS AND ADAPTORS FOR FORESTRY FIRE HOSE / NORME SUR LES ADAPTATEURS ET LES RACCORDEMENTS INSTANTAN�S � ERGOT EXTERNE FORG�S POUR TUYAUX D'INCENDIE FORESTIERS,(Ed. 3),ULC,"December 01, 2013",Type: canulc
"STANDARD FOR INSPECTION, TESTING AND MAINTENANCE OF SMOKE ALARMS / NORME SUR L'INSPECTION, LA MISE � L'ESSAI ET L'ENTRETIEN DES AVERTISSEURS DE FUM�E",(Ed. 2),ULC,"February 01, 2014",Type: canulc
Standard for the Installation of Smoke-Alarms (Superseded),(Ed. 2),ULC,"July 01, 2002",N/A
STANDARD FOR INSTALLATION OF SMOKE ALARMS / NORME SUR L'INSTALLATION DES AVERTISSEURS DE FUM�E,(Ed. 3),ULC,"February 01, 2014",Type: canulc
Standard for Water Based Agent Fire Extinguishers / Extincteurs � agent � base d�eau,(Ed. 3),ULC,"November 25, 2016",Type: binat
Standard for Fire Dampers,(Ed. 7),UL,"July 12, 2006",Type: ulstd
STANDARD FOR FIRE AND EMERGENCY SERVICE TECHNICAL RESCUE ROPES AND WATER RESCUE THROW ROPES AND ASSOCIATED EQUIPMENT / NORME RELATIVE AUX CORDES DE SAUVETAGE TECHNIQUE ET AUX CORDES � LANCER DE SAUVETAGE NAUTIQUE ET AU MAT�RIEL CONNEXE DES SERVICES D'INCENDIE ET D'URGENCE,(Ed. 3),ULC,"November 01, 2009",Type: canulc
Standard for Ceiling Dampers,(Ed. 4),UL,"December 16, 2014",Type: ulstd
Standard for Smoke Dampers,(Ed. 5),UL,"February 13, 2014",Type: ulstd
Standard for Back-Pack Fire Extinguishers,(Ed. 1),ULC,"September 01, 2004",N/A
STANDARD FOR BACK-PACK FIRE EXTINGUISHERS,(Ed. 2),ULC,"July 01, 2014",Type: ulconly
"Standard for Industrial Trucks, Internal Combustion Engine-Powered",(Ed. 10),UL,"January 10, 2012",Type: ulstd
"Equipment For Fire Signal Receiving Centres And Systems
 / �quipement Des Syst�mes Et Des Centrales De R�ception D'alarme Incendie",(Ed. 1),ULC,"June 18, 2004",N/A
STANDARD FOR EQUIPMENT FOR FIRE SIGNAL RECEIVING  CENTRES AND SYSTEMS / NORME SUR �QUIPEMENT DES SYST�MES ET DES CENTRALES DE R�CEPTION D'ALARME INCENDIE,(Ed. 2),ULC,"January 01, 2013",Type: canulc
STANDARD  FOR  EQUIPMENT  FOR  FIRE  SIGNAL  RECEIVING CENTRES AND SYSTEMS / NORMES SUR L'�QUIPEMENT DES SYST�MES ET DES CENTRALES DE R�CEPTION D'ALARME INCENDIE,(Ed. 3),ULC,"October 22, 2020",Type: canulc
STANDARD FOR HIGH-PERFORMANCE AND AVIATION FOAM LIQUID CONCENTRATES / NORME SUR LES CONCENTR�S LIQUIDES DE MOUSSE HAUTE PERFORMANCE ET POUR L'A�RONAUTIQUE,(Ed. 3),ULC,"May 25, 2021",Type: ulc
Standard for Floor-Finishing Machines,(Ed. 7),UL,"October 31, 2011",Type: ulstd
STANDARD FOR INSTALLATION AND SERVICES FOR FIRE SIGNAL RECEIVING CENTRES AND SYSTEMS / NORME SUR L'INSTALLATION ET LES SERVICES - SYST�MES ET CENTRALES DE R�CEPTION D'ALARME D'INCENDIE,(Ed. 2),ULC,"March 01, 2013",Type: canulc
STANDARD FOR INSTALLATION AND SERVICES FOR  FIRE SIGNAL RECEIVING CENTRES AND SYSTEMS / NORME SUR L'INSTALLATION ET LES SERVICES�- SYST�MES ET CENTRALES DE R�CEPTION D'ALARME INCENDIE,(Ed. 3),ULC,"June 01, 2020",Type: ulc
Standard for Ice Makers,(Ed. 8),UL,"July 31, 2009",Type: ulstd
Standard for Category 3 Film-Forming  Fluoroprotein (FFFP) Foam Liquid Concentrates / Standard for Category 3 Film-Forming  Fluoroprotein (FFFP) Foam Liquid Concentrates,(Ed. 2),ULC,"April 01, 2006",Type: canulc
STANDARD FOR HIGH-PERFORMANCE AND AVIATION SYNTHETIC FLUORINE-FREE FOAM LIQUID CONCENTRATES / NORME SUR LES CONCENTR�S LIQUIDES DE MOUSSE SYNTH�TIQUE SANS FLUOR HAUTE PERFORMANCE ET POUR L'A�RONAUTIQUE,(Ed. 3),ULC,"September 26, 2022",N/A
Standard for Categories 1 and 2 Foam Liquid Concentrates,(Ed. 2),ULC,"April 01, 2006",Type: ulc
Standard for Liquid-Level Gauges for Anhydrous Ammonia and LP-Gas,(Ed. 6),UL,"September 13, 2013",Type: ulstd
STANDARD FOR HALOCARBON CLEAN AGENT FIRE EXTINGUISHERS / NORME SUR LES EXTINCTEURS AUX AGENTS PROPRES � L'HALOCARBURE,(Ed. 2),ULC,"January 05, 2017",Type: binat
"ANSI/CAN/UL/ULC Emergency Breakaway Fittings, Swivel Connectors and Pipe-Connection Fittings for Petroleum Products and LP-Gas / Raccords � rupture d'urgence, les raccords pivotants et les raccords de tuyau pour les produits p�troliers et le propane",(Ed. 11),UL,"January 29, 2021",Type: ulstd
"Emergency Breakaway Fittings, Swivel Connectors and Pipe-Connection Fittings for Petroleum Products and LP-Gas / Norme sur les raccords � rupture d�urgence, les raccords pivotants et les raccords de tuyau pour les produits p�troliers et le propane",(Ed. 11),ULC,"January 29, 2021",Type: canulc
"Standard for Emergency Breakaway Fittings, Swivel Connectors and Pipe-Connection Fittings for Gasoline and Gasoline/Ethanol Blends with Nominal Ethanol Concentrations up to 85 Percent (E0 - E85)",(Ed. 1),UL,"March 05, 2015",Type: ulstd
"Emergency Breakaway Fittings, Swivel Connectors and Pipe-Connection Fittings for Diesel Fuel, Biodiesel Fuel, Diesel/Biodiesel Blends with Nominal Biodiesel Concentrations up to 20 Percent (B20), Kerosene, and Fuel Oil",(Ed. 1),UL,"March 05, 2015",Type: ulstd
Nonmetallic Cable Tray Systems,(Ed. 1),UL,"October 15, 2002",Type: ulcsa
Standard for Pigtails and Flexible Hose Connectors for LP-Gas,(Ed. 8),UL,"November 19, 2013",Type: ulstd
STANDARD FOR PHOTOLUMINESCENT AND  SELF-LUMINOUS EXIT SIGNS AND  PATH MARKING SYSTEMS,(Ed. 1),ULC,"November 30, 2010",N/A
STANDARD FOR PHOTOLUMINESCENT AND SELF-LUMINOUS EXIT SIGNS AND PATH MARKING SYSTEMS / NORME SUR LES PANNEAUX DE SIGNALISATION D,(Ed. 2),ULC,"February 01, 2017",N/A
STANDARD FOR INSTALLATION OF ANCILLARY DEVICES CONNECTED TO FIRE ALARM SYSTEMS / NORME SUR L'INSTALLATION DES DISPOSITIFS AUXILIAIRES BRANCH�S AUX SYST�MES D'ALARME INCENDIE,(Ed. 1),ULC,"December 28, 2018",Type: ulc
Standard for Electric Oil Heaters,(Ed. 8),UL,"August 14, 2003",Type: ulstd
STANDARD FOR FORGED 65 mm (2 1/2 in) EXTERNAL-LUG QUICK-CONNECT COUPLINGS AND ADAPTERS FOR FORESTRY FIRE HOSE / NORME SUR LES ADAPTATEURS ET LES RACCORDEMENTS INSTANTAN�S � ERGOT EXTERNE FORG�S DE 65�mm (2�1/2�po) POUR TUYAUX D'INCENDIE FORESTIERS,(Ed. 1),ULC,"December 01, 2013",Type: canulc
STANDARD FOR MASS NOTIFICATION SYSTEM EQUIPMENT AND ACCESSORIES,(Ed. 1),ULC,"February 01, 2014",N/A
STANDARD FOR MASS NOTIFICATION SYSTEM EQUIPMENT AND ACCESSORIES / NORME SUR L'�QUIPEMENT ET LES ACCESSOIRES DES SYST�MES DE NOTIFICATION DE MASSE,(Ed. 2),ULC,"September 24, 2019",N/A
Standard for Tests for Uplift Resistance of Roof Assemblies,(Ed. 5),UL,"November 02, 2006",Type: ulstd
Electric-Battery-Powered Industrial Trucks / Camions industriels �lectrique � batterie,(Ed. 11),UL,"December 15, 2022",Type: ulstd
Guide for the Investigation of Electric Battery Powered Industrial Trucks,(Ed. 1),ULC,"February 01, 1974",N/A
"Standard for High-Efficiency, Particulate, Air Filter Units",(Ed. 9),UL,"August 14, 2009",Type: ulstd
Standard for Seasonal and Holiday Decorative Products,(Ed. 19),UL,"October 26, 2015",Type: ulstd
"STANDARD FOR GAS AND VAPOUR DETECTORS AND SENSORS, INCLUDING ACCESSORIES / NORME SUR LES D�TECTEURS ET CAPTEURS DE GAZ ET DE VAPEUR, Y COMPRIS LES ACCESSOIRES",(Ed. 1),ULC,"April 01, 2017",Type: ulc
STANDARD FOR SINGLE AND MULTIPLE STATION HEAT ALARMS / NORME POUR LES ALARMES DE CHALEUR � UNE ET PLUSIEURS STATIONS,(Ed. 1),ULC,"June 23, 2022",Type: binat
"Standard for Design, Installation, Inspection, Testing and Maintenance of Safety Way Guidance System / Norme sur la conception, l'installation, l'inspection, la mise � l'essai et l'entretien de syst�mes de signalisation de s�curit�",(Ed. 1),ULC,"May 31, 2019",Type: canulc
STANDARD FOR THE SERVICING OF HALON AND CLEAN AGENT EXTINGUISHING SYSTEMS / NORME D'ENTRETIEN DES SYST�MES D'EXTINCTION AU HALON OU � AGENT HALOCARBON� PROPRE,(Ed. 1),ULC,"December 01, 2021",Type: canulc
STANDARD FOR THE SERVICING OF COMMERCIAL COOKING AREA EXTINGUISHING SYSTEMS / NORME D'ENTRETIEN DES SYST�MES D'EXTINCTION DES AIRES DE CUISSON COMMERCIALES,(Ed. 1),ULC,"December 01, 2021",Type: canulc
"Standard for Shop Fabricated Steel Aboveground Horizontal Tanks for Flammable and Combustible Liquids
Norme sur
les r�servoirs hors sol en acier fabriqu�s en usine pour liquides inflammables et combustibles",(Ed. 4),ULC,"December 31, 2007",N/A
STANDARD FOR SHOP FABRICATED STEEL ABOVEGROUND TANKS FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES R�SERVOIRS HORS SOL EN ACIER FABRIQU�S EN USINE POUR LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 5),ULC,"May 01, 2014",Type: canulc
"Standard for Aboveground Steel Tanks for Fuel Oil and Lubricating Oil
Norme sur les r�servoirs en acier non enterr�s pour le mazout et l�huile lubrifiante",(Ed. 5),ULC,"September 30, 2007",N/A
STANDARD FOR ABOVEGROUND STEEL TANKS FOR FUEL OIL  AND LUBRICATING OIL / NORME SUR LES R�SERVOIRS EN ACIER NON ENTERR�S POUR LE MAZOUT ET L'HUILE LUBRIFIANTE,(Ed. 6),ULC,"October 01, 2014",Type: canulc
STANDARD FOR ABOVEGROUND STEEL TANKS FOR FUEL OIL  AND LUBRICATING OIL / NORME SUR LES R�SERVOIRS EN ACIER NON ENTERR�S POUR LE MAZOUT ET L'HUILE LUBRIFIANTE,(Ed. 6),ULC,"October 01, 2014",Type: canulc
Standard for Power Supplies for Use with Burglar-Alarm Systems,(Ed. 5),UL,"February 18, 2008",Type: ulstd
STANDARD FOR STEEL UNDERGROUND TANKS FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES R�SERVOIRS SOUTERRAINS EN ACIER POUR LES LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 4),ULC,"October 01, 2014",Type: canulc
External Corrosion Protection Systems for Steel Underground Tanks for Flammable and Combustible Liquids,(Ed. 4),ULC,"August 01, 2011",Type: canulc
STANDARD FOR EXTERNAL CORROSION PROTECTION SYSTEMS FOR STEEL UNDERGROUND TANKS FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES SYST�MES DE PROTECTION CONTRE LA CORROSION EXT�RIEURE DES R�SERVOIRS ENTERR�S EN ACIER POUR LES LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 5),ULC,"February 01, 2017",Type: ulc
STANDARD FOR FACTORY-BUILT TYPE A CHIMNEYS / NORME SUR LES CHEMIN�ES PR�FABRIQU�ES DE�TYPE�A,(Ed. 5),ULC,"April 07, 2022",Type: ulc
Subject for Portable Extinguishers,(Ed. 1),UL,"April 15, 2004",N/A
STANDARD FOR GAS VENTS / NORME SUR LES CONDUITS D'�VACUATION � GAZ,(Ed. 5),ULC,"April 07, 2022",Type: ulc
Standard for Linings and Screens for Use with Burglar-Alarm Systems,(Ed. 4),UL,"November 19, 1999",Type: ulstd
Standard for Burglary Resistant Vault Doors and Modular Panels,(Ed. 7),UL,"November 30, 2004",Type: ulstd
Standard for Local Burglar Alarm Units and Systems,(Ed. 12),UL,"March 09, 2018",Type: ulstd
STANDARD FOR LOW TEMPERATURE VENTS TYPE L AND PL / NORME SUR LES CONDUITS D'�VACUATION � BASSE TEMP�RATURE DE TYPES L ET PL,(Ed. 3),ULC,"April 07, 2022",Type: ulc
STANDARD FOR FACTORY-BUILT FIREPLACE SYSTEMS / NORME SUR LES SYST�MES FOYERS � FEU OUVERT PR�FABRIQU�,(Ed. 2),ULC,"July 01, 2018",Type: canulc
STANDARD FOR HOSE AND HOSE ASSEMBLIES FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES TUYAUX FLEXIBLES ET TUYAUX FLEXIBLES � RACCORDS POUR LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 5),ULC,"April 01, 2016",Type: canulc
STANDARD FOR FIBRE REINFORCED PLASTIC UNDERGROUND TANKS FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES R�SERVOIRS EN PLASTIQUE RENFORC� SOUTERRAINS POUR LES LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 3),ULC,"October 01, 2014",N/A
Standard for Concrete Masonry Units,(Ed. 9),UL,"February 27, 1995",Type: ulstd
STANDARD FOR HOSE NOZZLE VALVES FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES PISTOLETS POUR  LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 4),ULC,"January 01, 2016",Type: canulc
Standard for Ice Cream Makers,(Ed. 7),UL,"May 07, 2010",Type: ulstd
Water Fire Extinguishers,(Ed. 8),UL,"February 28, 2005",Type: ululc
Standard for Space Heaters for Use with Solid Fuels,(Ed. 3),ULC,"June 01, 2000",N/A
STANDARD FOR SPACE HEATERS FOR USE WITH SOLID FUELS / NORME POUR LES PO�LES � UTILISER AVEC DES COMBUSTIBLES SOLIDES,(Ed. 4),ULC,"May 13, 2021",Type: ulc
STANDARD FOR FIREPLACE INSERTS AND HEARTH-MOUNTED STOVES / NORME SUR LES FOYERS ENCASTRABLES ET LES PO�LES SUR SOCLE,(Ed. 4),ULC,"April 07, 2022",Type: ulc
STANDARD FOR  650 �C FACTORY- BUILT CHIMNEYS / NORME SUR LES CHEMIN�ES PREFABRIQU�ES POUR DES TEMP�RATURES N�EXC�DENT PAS 650 �C,(Ed. 3),ULC,"December 01, 2016",Type: canulc
STANDARD FOR 650��C FACTORY-BUILT CHIMNEYS / NORME SUR LES CHEMIN�ES PREFABRIQU�ES POUR DES TEMP�RATURES N'EXC�DENT�PAS�650��C,(Ed. 4),ULC,"April 07, 2022",Type: ulc
Standard for Heat Shields,(Ed. 1),ULC,"February 22, 2016",N/A
STANDARD FOR HEAT SHIELDS / NORME SUR LES �CRANS THERMIQUES,(Ed. 3),ULC,"March 29, 2019",Type: canulc
Flexible Underground Hose Connectors for Flammable and Combustible Liquids / Norme Sur les Raccords a Tuyaux Flexible Souterrain pour Liquids Inflammables et Combustibles,(Ed. 1),ULC,"September 01, 2004",N/A
STANDARD FOR FLEXIBLE CONNECTOR PIPING FOR FUELS / NORME POUR LES TUYAUX DE RACCORDEMENT FLEXIBLES POUR CARBURANTS,(Ed. 4),ULC,"June 01, 2017",Type: canulc
Standard for Connectors and Switches for Use with Burglar-Alarm Systems,(Ed. 9),UL,"October 12, 2007",Type: ulstd
CONNECTORS AND SWITCHES FOR USE WITH BURGLAR ALARM SYSTEMS,(Ed. 2),ULC,"October 01, 2016",Type: ord
Standard for Insulating Bushings,(Ed. 3),UL,"March 08, 2012",Type: ulstd
STANDARD FOR LINING SYSTEMS FOR EXISTING MASONRY OR FACTORY-BUILT CHIMNEYS AND VENTS / NORME SUR LES SYST�MES DE CHEMISAGE POUR LES OUVRAGES DE MA�ONNERIE EXISTANTS OU LES CHEMIN�ES ET LES CONDUITS D'�VACUATION PR�FABRIQU�S,(Ed. 3),ULC,"August 01, 2016",Type: canulc
Standard for Holdup Alarm Units and Systems,(Ed. 11),UL,"January 30, 2018",Type: ulstd
Standard for Type BH Gas Venting Systems,(Ed. 3),ULC,"July 01, 2008",N/A
Standard for Intrusion-Detection Units,(Ed. 8),UL,"August 31, 2007",Type: ulstd
Standard for Steel Liner Assemblies for Solid-Fuel Burning Masonry Fireplaces,(Ed. 1),ULC,"April 01, 1987",N/A
STANDARD FOR STEEL LINER ASSEMBLIES FOR SOLID-FUEL BURNING MASONRY FIREPLACES / NORME SUR LES CHEMISAGES EN ACIER POUR FOYERS A FEU OUVERT EN MA�ONNERIE A COMBUSTIBLES SOLIDES,(Ed. 2),ULC,"April 01, 2018",N/A
STANDARD FOR LINING SYSTEMS FOR NEW MASONRY CHIMNEYS / NORME SUR LES SYST�MES DE CHEMISAGE POUR LES NOUVELLES CHEMIN�ES DE MA�ONNERIE,(Ed. 2),ULC,"August 01, 2016",Type: canulc
Standard for Type L Low-Temperature Venting Systems,(Ed. 8),UL,"September 21, 2010",Type: ulstd
STANDARD FOR FACTORY-BUILT CHIMNEY CONNECTORS AND WALL PASS-THROUGH ASSEMBLIES / NORME SUR LES RACCORDS DE CHEMIN�E PR�FABRIQU�E ET LES TRAVERS�ES MURALES,(Ed. 4),ULC,"April 07, 2022",Type: ulc
STANDARD FOR COMPOUNDS AND TAPES FOR THREADED PIPE JOINTS / NORME SUR LES COMPOS�S ET RUBANS POUR JOINTS DE TUYAU FILET�S,(Ed. 4),ULC,"June 30, 2021",Type: canulc
Standard for Container Assemblies for LP-Gas,(Ed. 9),UL,"June 06, 2014",Type: ulstd
STANDARD FOR EMERGENCY BREAKAWAY FITTINGS FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES RACCORDS FRANGIBLES D�URGENCE POUR LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 3),ULC,"August 01, 2016",Type: canulc
Standard For Power Roof Ventilators for Commercial and Institutional Kitchen Exhaust Systems,(Ed. 1),ULC,"January 01, 1993",Type: ulc
STANDARD FOR EXHAUST HOODS AND RELATED CONTROLS FOR COMMERCIAL AND INSTITUTIONAL COOKING EQUIPMENT / NORME RELATIVE AUX HOTTES D'ASPIRATION ET AUX CONTR�LES CONNEXES POUR LE MAT�RIEL DE CUISSON DES CUISINES PROFESSIONNELLES ET COLLECTIVES,(Ed. 3),ULC,"July 01, 2010",Type: canulc
Standard for Unvented Kerosene-Fired Room Heaters and Portable Heaters,(Ed. 2),UL,"May 03, 1993",Type: ulstd
Standard for Exhaust Cleaning and Recirculation Assemblies for Commercial and Institutional Kitchen Exhaust Systems,(Ed. 1),ULC,"July 01, 2006",N/A
STANDARD FOR EXHAUST CLEANING AND RECIRCULATION ASSEMBLIES FOR COMMERCIAL AND INSTITUTIONAL KITCHEN EXHAUST SYSTEMS,(Ed. 2),ULC,"January 01, 2005",Type: canulc
Standard for Grease Filters for Commercial and Insitutional Kitchen Exhaust Systems,(Ed. 1),ULC,"July 01, 2006",N/A
STANDARD FOR GREASE FILTERS FOR COMMERCIAL AND INSTITUTIONAL KITCHEN EXHAUST SYSTEMS,(Ed. 2),ULC,"July 01, 2006",Type: ulc
Standard for Schedule 40 and 80 Rigid PVC Conduit and Fittings,(Ed. 8),UL,"October 25, 2011",Type: ulstd
STANDARD FOR EMERGENCY VALVES  FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES ROBINETS D'URGENCE POUR LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 4),ULC,"January 01, 2016",Type: canulc
High Density Polyethylene (HDPE) Conduit,(Ed. 6),UL,"May 10, 2023",Type: ulstd
"Standard For Tank Assemblies For Collection, Storage and Removal Of Used Oil
Norme sur les ensembles r�servoirs destin�s � la collecte, au stockage et � l'enl�vement de l'huile usag�e",(Ed. 2),ULC,"May 01, 2008",N/A
"STANDARD FOR TANK ASSEMBLIES FOR THE COLLECTION, STORAGE AND REMOVAL OF USED OIL / NORME SUR LES ENSEMBLES R�SERVOIRS DESTIN�S � LA COLLECTE, AU STOCKAGE ET � L'ENL�VEMENT DE L'HUILE USAG�E",(Ed. 3),ULC,"February 01, 2016",Type: canulc
Standard for Aboveground Steel Contained Tank Assemblies for Flammable and Combustible Liquids / Norme sur les ensembles r�servoirs de confinement en acier hors sol pour les liquides inflammables et combustibles ,(Ed. 1),ULC,"July 01, 2006",N/A
STANDARD FOR ABOVEGROUND HORIZONTAL STEEL CONTAINED TANK ASSEMBLIES FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES ENSEMBLES R�SERVOIRS DE CONFINEMENT EN ACIER HORIZONTAUX HORS SOL POUR LES LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 3),ULC,"January 01, 2016",Type: canulc
Standard for Aboveground Protected Tank Assemblies for Flammable and Combustable Liquids,(Ed. 1),ULC,"February 01, 1998",N/A
STANDARD FOR ABOVEGROUND PROTECTED TANK ASSEMBLIES FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES ENSEMBLES R�SERVOIRS PROT�G�S HORS SOL POUR LES LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 2),ULC,"September 01, 2015",Type: canulc
STANDARD FOR OIL-WATER SEPARATORS / NORME SUR LES S�PARATEURS HUILE-EAU,(Ed. 2),ULC,"July 01, 2014",Type: canulc
STANDARD FOR OIL-WATER SEPARATORS / NORME SUR LES S�PARATEURS HUILE-EAU,(Ed. 2),ULC,"July 01, 2014",Type: canulc
Standard for Nonmetallic Underground Piping for Flammable and Combustible Liquids,(Ed. 1),ULC,"May 01, 2008",N/A
STANDARD FOR OVERFILL PROTECTION DEVICES FOR FLAMMABLE AND COMBUSTIBLE LIQUID STORAGE TANKS / NORME SUR LES DISPOSITIFS DE PROTECTION CONTRE LES D�BORDEMENTS POUR LES R�SERVOIRS DE STOCKAGE DE LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 1),ULC,"December 01, 2010",N/A
STANDARD FOR FACTORY-BUILT GREASE DUCTS / NORME SUR LES CONDUITS DE GRAISSE PR�FABRIQU�S,(Ed. 1),ULC,"August 01, 2009",Type: canulc
STANDARD FOR SPILL CONTAINMENT DEVICES FOR FLAMMABLE AND COMBUSTIBLE LIQUID ABOVEGROUND STORAGE TANKS / NORME SUR LES DISPOSITIFS DE CONFINEMENT DES D�VERSEMENTS POUR LES R�SERVOIRS DE STOCKAGE DE LIQUIDES INFLAMMABLES ET DE LIQUIDES COMBUSTIBLES HORS SOL,(Ed. 1),ULC,"April 01, 2011",N/A
"STANDARD FOR CONTAINMENT SUMPS, SUMP FITTINGS, AND ACCESSORIES FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORMES SUR LES PUISARDS DE CONFINEMENT, RACCORDS DE PUISARD ET ACCESSOIRES POUR LIQUIDES INFLAMMABLES ET COMBUSTIBLES",(Ed. 1),ULC,"July 01, 2017",Type: canulc
METALLIC UNDERGROUND PIPING FOR  FLAMMABLE AND COMBUSTIBLE LIQUIDS / CANALISATIONS SOUTERRAINES M�TALLIQUES POUR LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 1),ULC,"August 01, 2011",Type: canulc
Standard for Hose Valves for Fire-Protection Service,(Ed. 10),UL,"April 28, 2004",Type: ulstd
STANDARD FOR LINERS USED FOR SECONDARY CONTAINMENT OF ABOVEGROUND FLAMMABLE AND COMBUSTIBLE LIQUID TANKS / NORME SUR LES MEMBRANES DE CONFINEMENT SECONDAIRE POUR LES R�SERVOIRS DE STOCKAGE DE LIQUIDES INFLAMMABLES ET DE LIQUIDES COMBUSTIBLES HORS SOL,(Ed. 1),ULC,"April 01, 2012",Type: canulc
STANDARD FOR LINERS USED FOR SECONDARY CONTAINMENT OF ABOVEGROUND FLAMMABLE AND COMBUSTIBLE LIQUID TANKS / NORME SUR LES MEMBRANES DE CONFINEMENT SECONDAIRE POUR LES R�SERVOIRS DE STOCKAGE DE LIQUIDES INFLAMMABLES ET DE LIQUIDES COMBUSTIBLES HORS SOL,(Ed. 1),ULC,"April 01, 2012",Type: canulc
STANDARD FOR INTERNAL RETROFIT SYSTEMS FOR UNDERGROUND TANKS FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES SYST�MES DE R�NOVATION INTERNES DES R�SERVOIRS SOUTERRAINS POUR LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 1),ULC,"October 01, 2014",Type: canulc
STANDARD FOR ABOVEGROUND NONMETALLIC TANKS FOR FUEL OIL AND OTHER COMBUSTIBLE LIQUIDS / NORME SUR LES R�SERVOIRS NON M�TALLIQUES HORS SOL POUR LE MAZOUT ET AUTRES LIQUIDES COMBUSTIBLES,(Ed. 1),ULC,"September 01, 2014",Type: canulc
Electric Motors and Generators for Use in Hazardous (Classified) Locations,(Ed. 6),UL,"July 29, 2022",Type: ulcsance
STANDARD FOR UNVENTED ALCOHOL FUEL BURNING DECORATIVE APPLIANCES / NORME SUR LES APPAREILS D�CORATIFS NON RACCORD�S FONCTIONNANT � L,(Ed. 1),ULC,"November 01, 2015",Type: canulc
STANDARD FOR VOLUMETRIC LEAK DETECTION DEVICES FOR UNDERGROUND AND ABOVEGROUND STORAGE TANKS FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES DISPOSITIFS DE D�TECTION DES FUITES VOLUM�TRIQUES POUR LES R�SERVOIRS DE STOCKAGE SOUTERRAINS ET HORS SOL DE LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 1),ULC,"October 01, 2014",Type: canulc
"STANDARD FOR NONVOLUMETRIC PRECISION LEAK DETECTION DEVICES FOR UNDERGROUND AND ABOVEGROUND STORAGE TANKS AND PIPING FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LES DISPOSITIFS DE D�TECTION DES FUITES DE PR�CISION NON VOLUM�TRIQUES POUR LES R�SERVOIRS DE STOCKAGE ET LES TUYAUTERIES, SOUTERRAINS ET HORS SOL, DE LIQUIDES INFLAMMABLES ET COMBUSTIBLES",(Ed. 1),ULC,"October 01, 2014",Type: canulc
Standard for Underwater Luminaires and Submersible Junction Boxes,(Ed. 9),UL,"August 10, 2015",Type: ulstd
STANDARD FOR REFURBISHING OF STORAGE TANKS FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LA REMISE � NEUF DES R�SERVOIRS DE STOCKAGE POUR LES LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 1),ULC,"June 01, 2015",Type: canulc
STANDARD FOR REFURBISHING OF STORAGE TANKS FOR FLAMMABLE AND COMBUSTIBLE LIQUIDS / NORME SUR LA REMISE � NEUF DES R�SERVOIRS POUR LES LIQUIDES INFLAMMABLES ET COMBUSTIBLES,(Ed. 2),ULC,"September 14, 2020",Type: canulc
"Potting Compounds for Swimming Pool, Fountain, and Spa Equipment",(Ed. 3),UL,"August 06, 2003",Type: outline
